feature_name,importance_mean,importance_std,feature_group
par_mfcc_12_skew,0.07000000000000002,0.027688746209726892,par
ac_egemaps_spectralfluxv_sma3nz_stddevnorm,0.06666666666666665,0.02041241452319308,ac
ac_egemaps_loudness_sma3_meanrisingslope,0.05833333333333335,0.02041241452319308,ac
par_mfcc_8_kurtosis,0.056666666666666685,0.039930495169036455,par
ac_rms_std,0.04166666666666674,0.0,ac
ac_mfcc_5_std,0.04166666666666674,0.0,ac
par_mfcc_5_std,0.04166666666666674,0.0,par
par_mfcc_12_std,0.04166666666666674,0.0,par
ac_egemaps_loudness_sma3_percentile50_0,0.04166666666666674,0.0,ac
par_zcr_std,0.04166666666666674,0.0,par
ac_egemaps_loudness_sma3_stddevfallingslope,0.0416666666666667,0.02635231383473647,ac
par_rms_std,0.04166666666666665,0.03726779962499646,par
ac_egemaps_loudness_sma3_pctlrange0_2,0.04166666666666665,0.03726779962499646,ac
ac_egemaps_mfcc4_sma3_stddevnorm,0.033333333333333395,0.016666666666666698,ac
par_spectral_flatness_std,0.033333333333333395,0.016666666666666698,par
syn_determiner_ratio,0.033333333333333395,0.016666666666666698,syn
par_delta_mfcc_1_std,0.033333333333333395,0.016666666666666698,par
lex_honore,0.033333333333333395,0.016666666666666698,lex
ac_egemaps_spectralflux_sma3_stddevnorm,0.033333333333333395,0.016666666666666698,ac
ac_egemaps_loudness_sma3_stddevnorm,0.033333333333333395,0.016666666666666698,ac
len_std_utterance_length,0.033333333333333395,0.016666666666666698,len
par_mfcc_13_kurtosis,0.03333333333333335,0.031180478223116162,par
par_mfcc_4_std,0.025000000000000043,0.020412414523193187,par
ac_mfcc_1_std,0.025000000000000043,0.020412414523193187,ac
ac_egemaps_loudness_sma3_percentile20_0,0.025000000000000043,0.020412414523193187,ac
par_mfcc_10_std,0.025000000000000043,0.020412414523193187,par
ac_egemaps_equivalentsoundlevel_dbp,0.025000000000000043,0.020412414523193187,ac
ac_egemaps_slopeuv0_500_sma3nz_amean,0.025000000000000043,0.020412414523193187,ac
sx_pairwise_similarity_std,0.025,0.03333333333333332,sx
sx_adjacent_similarity_max,0.016666666666666698,0.020412414523193187,sx
lex_mattr_20,0.016666666666666698,0.020412414523193187,lex
ac_egemaps_mfcc3_sma3_amean,0.016666666666666698,0.020412414523193187,ac
disc_local_coherence,0.016666666666666698,0.020412414523193187,disc
disc_semantic_drift,0.016666666666666698,0.020412414523193187,disc
par_mfcc_10_kurtosis,0.016666666666666698,0.020412414523193187,par
syn_pronoun_ratio,0.016666666666666698,0.020412414523193187,syn
graph_average_degree,0.016666666666666698,0.020412414523193187,graph
par_delta_mfcc_4_std,0.016666666666666698,0.020412414523193187,par
sx_std_log_lemma_freq,0.016666666666666698,0.020412414523193187,sx
disc_adjacent_utterance_similarity_mean,0.016666666666666698,0.020412414523193187,disc
par_delta_mfcc_9_std,0.016666666666666698,0.020412414523193187,par
ac_egemaps_alpharatiov_sma3nz_stddevnorm,0.016666666666666698,0.020412414523193187,ac
ac_zcr_std,0.016666666666666698,0.020412414523193187,ac
par_delta_mfcc_5_std,0.016666666666666698,0.020412414523193187,par
par_delta_mfcc_3_std,0.016666666666666698,0.020412414523193187,par
par_mfcc_9_std,0.016666666666666698,0.020412414523193187,par
disc_adjacent_utterance_similarity_std,0.008333333333333349,0.016666666666666698,disc
par_mfcc_1_std,0.008333333333333349,0.016666666666666698,par
ac_egemaps_loudness_sma3_stddevrisingslope,0.008333333333333349,0.016666666666666698,ac
par_mfcc_3_std,0.008333333333333349,0.016666666666666698,par
graph_self_loop_ratio,0.008333333333333349,0.016666666666666698,graph
par_mfcc_8_std,0.008333333333333349,0.016666666666666698,par
par_mfcc_8_mean,0.008333333333333349,0.016666666666666698,par
ac_egemaps_alpharatiouv_sma3nz_amean,0.008333333333333349,0.016666666666666698,ac
par_mfcc_1_kurtosis,0.008333333333333349,0.031180478223116235,par
par_delta_mfcc_2_mean,0.008333333333333349,0.016666666666666698,par
pause_iqr_duration,0.008333333333333349,0.016666666666666698,pause
ac_mfcc_3_std,0.0,0.0,ac
lex_hapax_ratio,0.0,0.0,lex
par_mfcc_9_skew,0.0,0.0,par
ac_egemaps_loudness_sma3_meanfallingslope,0.0,0.0,ac
syn_max_dependency_length,0.0,0.0,syn
disc_immediate_repetition_count,0.0,0.0,disc
syn_std_dependency_length,0.0,0.0,syn
ac_egemaps_hammarbergindexuv_sma3nz_amean,0.0,0.0,ac
lex_mattr_10,0.0,0.0,lex
disc_repeated_unigram_ratio,0.0,0.0,disc
lex_repetition_rate,0.0,0.0,lex
pause_to_speech_ratio,0.0,0.0,pause
pause_total_duration,0.0,0.0,pause
par_delta_mfcc_13_std,0.0,0.0,par
pause_speaking_to_total_ratio,0.0,0.0,pause
par_delta_mfcc_12_std,0.0,0.0,par
pause_silence_ratio,0.0,0.0,pause
pause_mean_duration,0.0,0.0,pause
ac_mfcc_4_std,0.0,0.0,ac
syn_open_closed_ratio,0.0,0.0,syn
pause_short_count,0.0,0.0,pause
par_mfcc_4_skew,0.0,0.0,par
lex_type_token_ratio,0.0,0.0,lex
syn_pronoun_noun_ratio,0.0,0.0,syn
pause_median_duration,0.0,0.0,pause
pause_pause_to_word_ratio,0.0,0.0,pause
ac_egemaps_f3bandwidth_sma3nz_amean,0.0,0.0,ac
ac_egemaps_jitterlocal_sma3nz_amean,0.0,0.0,ac
lex_std_token_length,0.0,0.0,lex
syn_content_function_ratio,0.0,0.0,syn
par_f0_q25,0.0,0.0,par
len_type_count,0.0,0.0,len
graph_node_count,0.0,0.0,graph
par_delta_mfcc_10_std,0.0,0.0,par
par_mfcc_13_std,0.0,0.0,par
par_delta_mfcc_8_std,0.0,0.0,par
pause_std_duration,0.0,0.0,pause
pause_filled_count,0.0,0.0,pause
ac_egemaps_shimmerlocaldb_sma3nz_stddevnorm,0.0,0.0,ac
par_mfcc_3_skew,0.0,0.0,par
pause_long_count,0.0,0.0,pause
lex_content_word_ratio,0.0,0.0,lex
par_delta_mfcc_11_std,0.0,0.0,par
