feature_name,importance_mean,importance_std,feature_group
pd_semantic_similarity_to_unit_list,0.09166666666666665,0.04799209039769721,pd
pause_filled_count,0.09027777777777779,0.00878410461157887,pause
len_speech_duration,0.08888888888888884,0.04677071733467427,len
syn_part_ratio,0.06944444444444445,0.03513641844631533,syn
disc_repeated_trigram_ratio,0.05277777777777779,0.03690369515440676,disc
lex_mattr_20,0.05138888888888889,0.033042714592695324,lex
pd_unique_unit_density,0.0388888888888889,0.050955378688455934,pd
syn_pronoun_ratio,0.03611111111111107,0.027568657279554463,syn
syn_content_function_ratio,0.03194444444444442,0.023073955174772426,syn
sx_adjacent_similarity_max,0.02916666666666663,0.02421610524189263,sx
disc_adjacent_utterance_similarity_std,0.02777777777777779,0.00878410461157887,disc
sx_content_word_ratio_lexicon,0.025,0.005555555555555579,sx
sx_function_word_ratio_lexicon,0.025,0.005555555555555579,sx
pause_long_ratio,0.01944444444444442,0.006804138174397747,pause
pause_median_duration,0.01944444444444442,0.0068041381743977475,pause
lex_std_token_length,0.01666666666666663,0.005555555555555579,lex
lex_mean_token_length,0.01666666666666663,0.005555555555555579,lex
pause_articulation_rate_words_per_speaking_second,0.015277777777777769,0.030555555555555534,pause
graph_density,0.015277777777777769,0.02421610524189263,graph
syn_mean_tree_depth,0.013888888888888862,0.008784104611578835,syn
pd_object_units_ratio,0.013888888888888862,0.008784104611578835,pd
pd_action_units_ratio,0.013888888888888862,0.008784104611578835,pd
syn_obl_ratio,0.0125,0.025000000000000005,syn
pause_filled_per_100_words,0.0125,0.025,pause
graph_average_degree,0.011111111111111117,0.013608276348795441,graph
pause_speaking_to_total_ratio,0.011111111111111117,0.013608276348795441,pause
disc_repeated_bigram_ratio,0.011111111111111072,0.005555555555555536,disc
graph_self_loop_ratio,0.011111111111111072,0.005555555555555536,graph
syn_mean_dependency_length,0.008333333333333326,0.011111111111111113,syn
pause_silence_ratio,0.008333333333333326,0.011111111111111112,pause
syn_noun_ratio,0.008333333333333326,0.011111111111111112,syn
disc_immediate_repetition_count,0.008333333333333304,0.006804138174397694,disc
disc_local_coherence,0.008333333333333304,0.006804138174397694,disc
disc_semantic_drift,0.008333333333333304,0.006804138174397694,disc
disc_adjacent_utterance_similarity_mean,0.008333333333333304,0.006804138174397694,disc
sx_low_similarity_frac_03,0.008333333333333304,0.006804138174397694,sx
pause_pause_to_word_ratio,0.008333333333333304,0.006804138174397694,pause
sx_rare_lemma_ratio,0.005555555555555536,0.006804138174397694,sx
syn_max_dependency_length,0.005555555555555536,0.006804138174397693,syn
syn_pronoun_noun_ratio,0.005555555555555536,0.006804138174397694,syn
pause_medium_count,0.005555555555555536,0.006804138174397694,pause
len_tokens_per_second,0.002777777777777768,0.005555555555555536,len
pause_speech_rate_words_per_second,0.002777777777777768,0.005555555555555536,pause
len_syllables_per_second,0.002777777777777768,0.005555555555555536,len
sx_pairwise_similarity_std,0.002777777777777768,0.005555555555555536,sx
syn_determiner_ratio,0.002777777777777768,0.005555555555555536,syn
lex_lemma_type_token_ratio,0.002777777777777768,0.005555555555555536,lex
pause_iqr_duration,0.002777777777777768,0.005555555555555536,pause
pause_long_count,0.002777777777777768,0.005555555555555536,pause
pause_mean_duration,0.002777777777777768,0.005555555555555536,pause
sx_low_similarity_frac_05,0.0,0.0,sx
syn_subordination_ratio,0.0,0.0,syn
sx_sentence_length_cv,0.0,0.0,sx
sx_mean_log_lemma_freq,0.0,0.0,sx
lex_mattr_10,0.0,0.0,lex
lex_content_word_ratio,0.0,0.0,lex
len_tokens_per_utterance,0.0,0.0,len
syn_clause_density,0.0,0.0,syn
syn_num_ratio,0.0,0.0,syn
syn_sconj_ratio,0.0,0.0,syn
sx_sentence_length_q25,0.0,0.0,sx
sx_sentence_length_q50,0.0,0.0,sx
syn_nsubj_ratio,0.0,0.0,syn
sx_sentence_length_q75,0.0,0.0,sx
disc_mean_pairwise_utt_similarity,0.0,0.0,disc
syn_utterance_count,0.0,0.0,syn
len_utterance_count,0.0,0.0,len
syn_verb_ratio,0.0,0.0,syn
len_mean_utterance_length,0.0,0.0,len
syn_mean_utterance_length_words,0.0,0.0,syn
syn_determiner_noun_ratio,0.0,0.0,syn
lex_function_word_ratio,0.0,0.0,lex
syn_advmod_ratio,0.0,0.0,syn
lex_repetition_rate,0.0,0.0,lex
disc_repeated_unigram_ratio,0.0,0.0,disc
syn_std_dependency_length,0.0,0.0,syn
syn_max_tree_depth,0.0,0.0,syn
syn_obj_ratio,0.0,0.0,syn
sx_std_log_lemma_freq,0.0,0.0,sx
syn_adp_ratio,0.0,0.0,syn
lex_type_token_ratio,0.0,0.0,lex
graph_node_count,0.0,0.0,graph
sx_adjacent_similarity_min,0.0,0.0,sx
syn_aux_verb_ratio,0.0,0.0,syn
pd_content_density,0.0,0.0,pd
pd_total_unit_density,0.0,0.0,pd
pd_total_unit_efficiency,0.0,0.0,pd
pd_mean_utterance_to_unit_similarity,0.0,0.0,pd
len_audio_duration,0.0,0.0,len
syn_adv_ratio,0.0,0.0,syn
len_type_count,0.0,0.0,len
pd_detected_prompt_score,0.0,0.0,pd
ac_egemaps_slopev0_500_sma3nz_amean,0.0,0.0,ac
par_f0_q75,0.0,0.0,par
lex_brunet,0.0,0.0,lex
pd_keyword_to_nonkeyword_ratio,0.0,0.0,pd
pause_total_duration,0.0,0.0,pause
ac_egemaps_slopeuv0_500_sma3nz_amean,0.0,0.0,ac
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile20_0,0.0,0.0,ac
len_std_utterance_length,0.0,0.0,len
